CUSTOMER_ID,SALUTATION,FIRST_NAME,LAST_NAME,BIRTH_DAY,BIRTH_MONTH,BIRTH_YEAR,BIRTH_COUNTRY,EMAIL_ADDRESS,IS_ACTIVE
AAAAAAAAMKJPHPBA,Dr.,Christopher,Schroeder,10,2,1931,SLOVAKIA,Christopher.Schroeder@McglO.org,Y
AAAAAAAAONMOGPBA,Miss,Rosalinda,Pratt,1,9,1988,MALTA,Rosalinda.Pratt@l47gdNxCbBJNb.com,Y
AAAAAAAAGPMHJPBA,Miss,Bernice,Brooks,8,9,1932,SINGAPORE,Bernice.Brooks@qjT0Snj.com,Y
AAAAAAAAFEKPGPBA,Dr.,Melodie,Roman,3,12,1938,FRENCH GUIANA,Melodie.Roman@m8UYsygr.com,Y
AAAAAAAANIEOPIAA,Sir,James,Laplante,2,7,1925,HUNGARY,James.Laplante@C8t.org,Y
AAAAAAAAAABCLABA,Mr.,Michael,Marks,24,12,1959,RUSSIAN FEDERATION,Michael.Marks@I8soiNKe.com,Y
AAAAAAAAJDFPBLAA,Ms.,Lizzie,Medley,11,11,1972,JORDAN,Lizzie.Medley@1yX3At.org,Y
AAAAAAAAJFBBDLAA,Mr.,Oren,Alonzo,19,1,1957,PANAMA,Oren.Alonzo@2dpfyhVYrClKUDXN.edu,Y
AAAAAAAAJLDFHPBA,Dr.,Michael,Macon,18,11,1963,BRAZIL,Michael.Macon@8KTcgloAXomzmoLj.org,Y
AAAAAAAACMHFIPBA,Mr.,Victor,Mendez,5,10,1968,ISRAEL,Victor.Mendez@LQHgstNsYSjC4A.edu,Y
AAAAAAAAFOKMIKCA,Miss,Deborah,Willis,23,5,1963,GREECE,Deborah.Willis@C.edu,Y
AAAAAAAANOKIDJBA,Ms.,Josephine,Blais,5,1,1967,LATVIA,Josephine.Blais@D8q5qg.org,Y
AAAAAAAADDAEDJBA,Miss,Dorothy,Duke,18,10,1978,MOROCCO,Dorothy.Duke@T.org,Y
AAAAAAAAILLOEJBA,Sir,Jose,Campbell,25,4,1960,ERITREA,Jose.Campbell@XSmvThcV8mI9GZK.edu,Y
AAAAAAAALFGEFJBA,Dr.,Alfred,Hair,27,8,1987,SRI LANKA,Alfred.Hair@bPgu094OMYmtQ.org,Y
AAAAAAAANPGJFJBA,Mr.,Walter,Milligan,1,8,1963,NEPAL,Walter.Milligan@XGgCXa.com,Y
AAAAAAAAGLNDLABA,Mrs.,April,Russo,19,10,1947,ECUADOR,April.Russo@SQCflL3mETetLr.edu,Y
AAAAAAAABAIMCLAA,,,,16,4,,COMOROS,,Y
AAAAAAAAFCFKDLAA,Miss,Debra,Connors,26,4,1989,ZIMBABWE,Debra.Connors@G7JagshMAvaZ.edu,Y
AAAAAAAAGCKCCLAA,Ms.,Debra,Williams,6,6,1930,QATAR,Debra.Williams@SNBiej2Nz2v.com,Y
